epoch,val_acc,step,val_loss,train_loss,train_acc,test_acc
53,,107,,0.3571423888206482,0.8222222328186035,
54,1.0,109,0.0,,,
54,,109,,0.35045841336250305,0.800000011920929,
55,1.0,111,0.0,,,
55,,111,,0.3949941396713257,0.8111110925674438,
56,1.0,113,0.0,,,
56,,113,,0.3855753540992737,0.8444444537162781,
57,1.0,115,0.0,,,
57,,115,,0.36859893798828125,0.8111110925674438,
58,1.0,117,0.0,,,
58,,117,,0.3663809895515442,0.855555534362793,
59,1.0,119,0.0,,,
59,,119,,0.37198927998542786,0.8111110925674438,
60,1.0,121,0.0,,,
60,,121,,0.3240504562854767,0.8333333134651184,
61,1.0,123,0.0,,,
61,,123,,0.3578047752380371,0.8222222328186035,
62,1.0,125,0.0,,,
62,,125,,0.37566322088241577,0.8222222328186035,
63,1.0,127,0.0,,,
63,,127,,0.49323421716690063,0.7222222089767456,
64,1.0,129,0.0,,,
64,,129,,0.32159116864204407,0.855555534362793,
65,1.0,131,0.0,,,
65,,131,,0.35748469829559326,0.8333333134651184,
66,1.0,133,0.0,,,
66,,133,,0.3195028007030487,0.855555534362793,
67,1.0,135,0.0,,,
67,,135,,0.33576440811157227,0.8333333134651184,
68,1.0,137,0.0,,,
68,,137,,0.3322737514972687,0.855555534362793,
69,1.0,139,0.0,,,
69,,139,,0.32326361536979675,0.8666666746139526,
70,1.0,141,0.0,,,
70,,141,,0.32987767457962036,0.8444444537162781,
71,1.0,143,0.0,,,
71,,143,,0.3509249687194824,0.800000011920929,
72,1.0,145,0.0,,,
72,,145,,0.38419631123542786,0.8333333134651184,
73,1.0,147,0.0,,,
73,,147,,0.32931071519851685,0.8444444537162781,
74,1.0,149,0.0,,,
74,,149,,0.31161949038505554,0.8666666746139526,
