val_acc,epoch,val_loss,step,train_acc,train_loss,test_acc
,72,,145,0.800000011920929,0.3885278105735779,
1.0,73,0.0,147,,,
,73,,147,0.8444444537162781,0.33331596851348877,
1.0,74,0.0,149,,,
,74,,149,0.8777777552604675,0.3064684569835663,
1.0,75,0.0,151,,,
,75,,151,0.8333333134651184,0.3560335338115692,
1.0,76,0.0,153,,,
,76,,153,0.855555534362793,0.3246542811393738,
1.0,77,0.0,155,,,
,77,,155,0.8333333134651184,0.3135647177696228,
1.0,78,0.0,157,,,
,78,,157,0.8222222328186035,0.32889559864997864,
1.0,79,0.0,159,,,
,79,,159,0.8444444537162781,0.32289180159568787,
1.0,80,0.0,161,,,
,80,,161,0.8333333134651184,0.36474937200546265,
1.0,81,0.0,163,,,
,81,,163,0.8666666746139526,0.33537039160728455,
1.0,82,0.0,165,,,
,82,,165,0.8222222328186035,0.3469722867012024,
1.0,83,0.0,167,,,
,83,,167,0.855555534362793,0.3663056194782257,
1.0,84,0.0,169,,,
,84,,169,0.8111110925674438,0.3348129689693451,
1.0,85,0.0,171,,,
,85,,171,0.8444444537162781,0.37921687960624695,
1.0,86,0.0,173,,,
,86,,173,0.8333333134651184,0.31700268387794495,
1.0,87,0.0,175,,,
,87,,175,0.8333333134651184,0.33545753359794617,
1.0,88,0.0,177,,,
,88,,177,0.8333333134651184,0.32748520374298096,
1.0,89,0.0,179,,,
,89,,179,0.8222222328186035,0.37562087178230286,
1.0,90,0.0,181,,,
,90,,181,0.855555534362793,0.3544618785381317,
1.0,91,0.0,183,,,
,91,,183,0.8333333134651184,0.33609333634376526,
1.0,92,0.0,185,,,
,92,,185,0.8444444537162781,0.30689916014671326,
1.0,93,0.0,187,,,
,93,,187,0.8444444537162781,0.33240827918052673,
1.0,94,0.0,189,,,
,94,,189,0.8111110925674438,0.39475297927856445,
1.0,95,0.0,191,,,
,95,,191,0.855555534362793,0.3600246012210846,
1.0,96,0.0,193,,,
,96,,193,0.8111110925674438,0.4084215760231018,
1.0,97,0.0,195,,,
,97,,195,0.800000011920929,0.34946489334106445,
1.0,98,0.0,197,,,
,98,,197,0.8444444537162781,0.32430383563041687,
1.0,99,0.0,199,,,
,99,,199,0.8666666746139526,0.32854163646698,
1.0,100,0.0,201,,,
,100,,201,0.8444444537162781,0.34558162093162537,
1.0,101,0.0,203,,,
,101,,203,0.855555534362793,0.34548696875572205,
1.0,102,0.0,205,,,
,102,,205,0.8111110925674438,0.33395272493362427,
1.0,103,0.0,207,,,
,103,,207,0.8666666746139526,0.3294652998447418,
1.0,104,0.0,209,,,
,104,,209,0.8444444537162781,0.3577556908130646,
1.0,105,0.0,211,,,
,105,,211,0.8666666746139526,0.3239139914512634,
1.0,106,0.0,213,,,
,106,,213,0.8444444537162781,0.34194281697273254,
1.0,107,0.0,215,,,
,107,,215,0.8444444537162781,0.3453854024410248,
1.0,108,0.0,217,,,
,108,,217,0.8333333134651184,0.35225072503089905,
1.0,109,0.0,219,,,
,109,,219,0.8444444537162781,0.3509395718574524,
1.0,110,0.0,221,,,
,110,,221,0.8999999761581421,0.31050023436546326,
1.0,111,0.0,223,,,
,111,,223,0.8444444537162781,0.3465522527694702,
1.0,112,0.0,225,,,
,112,,225,0.855555534362793,0.3062886595726013,
1.0,113,0.0,227,,,
,113,,227,0.8222222328186035,0.3267865478992462,
1.0,114,0.0,229,,,
,114,,229,0.8666666746139526,0.2920583188533783,
1.0,115,0.0,231,,,
,115,,231,0.855555534362793,0.3310180604457855,
1.0,116,0.0,233,,,
,116,,233,0.8444444537162781,0.37553226947784424,
1.0,117,0.0,235,,,
,117,,235,0.8111110925674438,0.35506483912467957,
1.0,118,0.0,237,,,
,118,,237,0.855555534362793,0.3488035500049591,
1.0,119,0.0,239,,,
,119,,239,0.8444444537162781,0.39612388610839844,
1.0,120,0.0,241,,,
,120,,241,0.8666666746139526,0.3304862082004547,
1.0,121,0.0,243,,,
,121,,243,0.8111110925674438,0.38096415996551514,
1.0,122,0.0,245,,,
,122,,245,0.8222222328186035,0.33405858278274536,
1.0,123,0.0,247,,,
,123,,247,0.8444444537162781,0.32636353373527527,
1.0,124,0.0,249,,,
,124,,249,0.8111110925674438,0.36399492621421814,
1.0,125,0.0,251,,,
,125,,251,0.855555534362793,0.33225107192993164,
1.0,126,0.0,253,,,
,126,,253,0.8444444537162781,0.3377515971660614,
1.0,127,0.0,255,,,
,127,,255,0.8444444537162781,0.3141879439353943,
1.0,128,0.0,257,,,
,128,,257,0.855555534362793,0.32954537868499756,
1.0,129,0.0,259,,,
,129,,259,0.8444444537162781,0.349292129278183,
1.0,130,0.0,261,,,
,130,,261,0.8222222328186035,0.33974453806877136,
1.0,131,0.0,263,,,
,131,,263,0.8444444537162781,0.33271557092666626,
1.0,132,0.0,265,,,
,132,,265,0.8444444537162781,0.3418174386024475,
1.0,133,0.0,267,,,
,133,,267,0.855555534362793,0.33570578694343567,
1.0,134,0.0,269,,,
,134,,269,0.8666666746139526,0.31559234857559204,
1.0,135,0.0,271,,,
,135,,271,0.8444444537162781,0.3523908853530884,
1.0,136,0.0,273,,,
,136,,273,0.8444444537162781,0.315610408782959,
1.0,137,0.0,275,,,
,137,,275,0.8444444537162781,0.38299041986465454,
1.0,138,0.0,277,,,
,138,,277,0.8777777552604675,0.3141818046569824,
1.0,139,0.0,279,,,
,139,,279,0.8222222328186035,0.356208473443985,
1.0,140,0.0,281,,,
,140,,281,0.8333333134651184,0.32940423488616943,
1.0,141,0.0,283,,,
,141,,283,0.8777777552604675,0.32499420642852783,
1.0,142,0.0,285,,,
,142,,285,0.8444444537162781,0.3505952060222626,
1.0,143,0.0,287,,,
,143,,287,0.8222222328186035,0.3521466851234436,
1.0,144,0.0,289,,,
,144,,289,0.800000011920929,0.32890185713768005,
1.0,145,0.0,291,,,
,145,,291,0.8444444537162781,0.332500159740448,
1.0,146,0.0,293,,,
,146,,293,0.8333333134651184,0.31127646565437317,
1.0,147,0.0,295,,,
,147,,295,0.855555534362793,0.32406729459762573,
1.0,148,0.0,297,,,
,148,,297,0.8333333134651184,0.3598451316356659,
1.0,149,0.0,299,,,
,149,,299,0.8666666746139526,0.29100072383880615,
1.0,150,0.0,301,,,
,150,,301,0.8666666746139526,0.3084424138069153,
1.0,151,0.0,303,,,
,151,,303,0.855555534362793,0.3131656348705292,
1.0,152,0.0,305,,,
,152,,305,0.8333333134651184,0.36596396565437317,
1.0,153,0.0,307,,,
,153,,307,0.7888888716697693,0.3748878538608551,
1.0,154,0.0,309,,,
,154,,309,0.8444444537162781,0.37621527910232544,
1.0,155,0.0,311,,,
,155,,311,0.8444444537162781,0.3601248860359192,
1.0,156,0.0,313,,,
,156,,313,0.8222222328186035,0.3614458739757538,
1.0,157,0.0,315,,,
,157,,315,0.8111110925674438,0.3665953278541565,
1.0,158,0.0,317,,,
,158,,317,0.855555534362793,0.36104193329811096,
1.0,159,0.0,319,,,
,159,,319,0.8666666746139526,0.3545483648777008,
1.0,160,0.0,321,,,
,160,,321,0.855555534362793,0.29997676610946655,
1.0,161,0.0,323,,,
,161,,323,0.855555534362793,0.33031147718429565,
1.0,162,0.0,325,,,
,162,,325,0.8333333134651184,0.3749922811985016,
1.0,163,0.0,327,,,
,163,,327,0.8222222328186035,0.3102779686450958,
1.0,164,0.0,329,,,
,164,,329,0.8444444537162781,0.33399978280067444,
1.0,165,0.0,331,,,
,165,,331,0.8444444537162781,0.3108387291431427,
1.0,166,0.0,333,,,
,166,,333,0.8444444537162781,0.33077311515808105,
1.0,167,0.0,335,,,
,167,,335,0.8666666746139526,0.33844083547592163,
1.0,168,0.0,337,,,
,168,,337,0.8777777552604675,0.3417161703109741,
1.0,169,0.0,339,,,
,169,,339,0.8222222328186035,0.33373674750328064,
1.0,170,0.0,341,,,
,170,,341,0.8777777552604675,0.2872796058654785,
1.0,171,0.0,343,,,
,171,,343,0.855555534362793,0.31638413667678833,
1.0,172,0.0,345,,,
,172,,345,0.8666666746139526,0.3225337564945221,
1.0,173,0.0,347,,,
,173,,347,0.8333333134651184,0.33076202869415283,
1.0,174,0.0,349,,,
,174,,349,0.8111110925674438,0.3568720519542694,
1.0,175,0.0,351,,,
,175,,351,0.8666666746139526,0.30538317561149597,
1.0,176,0.0,353,,,
,176,,353,0.855555534362793,0.2986260652542114,
1.0,177,0.0,355,,,
,177,,355,0.8777777552604675,0.29786619544029236,
1.0,178,0.0,357,,,
,178,,357,0.8333333134651184,0.336229532957077,
1.0,179,0.0,359,,,
,179,,359,0.8777777552604675,0.30468639731407166,
1.0,180,0.0,361,,,
,180,,361,0.855555534362793,0.31831908226013184,
1.0,181,0.0,363,,,
,181,,363,0.855555534362793,0.28496700525283813,
1.0,182,0.0,365,,,
,182,,365,0.8666666746139526,0.2716945707798004,
1.0,183,0.0,367,,,
,183,,367,0.8444444537162781,0.3245270252227783,
1.0,184,0.0,369,,,
,184,,369,0.8444444537162781,0.3779468238353729,
1.0,185,0.0,371,,,
,185,,371,0.8888888955116272,0.31382548809051514,
1.0,186,0.0,373,,,
,186,,373,0.855555534362793,0.3282146155834198,
1.0,187,0.0,375,,,
,187,,375,0.8333333134651184,0.35727518796920776,
1.0,188,0.0,377,,,
,188,,377,0.8444444537162781,0.34131932258605957,
1.0,189,0.0,379,,,
,189,,379,0.8999999761581421,0.279169499874115,
1.0,190,0.0,381,,,
,190,,381,0.8333333134651184,0.3598319888114929,
1.0,191,0.0,383,,,
,191,,383,0.855555534362793,0.33752089738845825,
1.0,192,0.0,385,,,
,192,,385,0.8222222328186035,0.374526709318161,
1.0,193,0.0,387,,,
,193,,387,0.8333333134651184,0.3177277445793152,
1.0,194,0.0,389,,,
,194,,389,0.8333333134651184,0.3289221525192261,
1.0,195,0.0,391,,,
,195,,391,0.8666666746139526,0.29437118768692017,
1.0,196,0.0,393,,,
,196,,393,0.8666666746139526,0.3149007260799408,
1.0,197,0.0,395,,,
,197,,395,0.855555534362793,0.3139753043651581,
1.0,198,0.0,397,,,
,198,,397,0.800000011920929,0.3437831997871399,
1.0,199,0.0,399,,,
,199,,399,0.8444444537162781,0.2829042673110962,
,200,,400,,,0.7666666507720947
,200,,400,,,1.0
