step,epoch,val_loss,val_acc,train_loss,train_acc,test_acc
113,56,,,0.3806827962398529,0.8666666746139526,
115,57,0.0,1.0,,,
115,57,,,0.35215869545936584,0.8111110925674438,
117,58,0.0,1.0,,,
117,58,,,0.34616512060165405,0.855555534362793,
119,59,0.0,1.0,,,
119,59,,,0.3682437539100647,0.800000011920929,
121,60,0.0,1.0,,,
121,60,,,0.3261707127094269,0.800000011920929,
123,61,0.0,1.0,,,
123,61,,,0.3409058153629303,0.8222222328186035,
125,62,0.0,1.0,,,
125,62,,,0.3812502920627594,0.8222222328186035,
127,63,0.0,1.0,,,
127,63,,,0.4668162167072296,0.7777777910232544,
129,64,0.0,1.0,,,
129,64,,,0.32380056381225586,0.855555534362793,
131,65,0.0,1.0,,,
131,65,,,0.35838818550109863,0.8222222328186035,
133,66,0.0,1.0,,,
133,66,,,0.3192596435546875,0.8666666746139526,
135,67,0.0,1.0,,,
135,67,,,0.3468610644340515,0.8333333134651184,
137,68,0.0,1.0,,,
137,68,,,0.33430901169776917,0.8444444537162781,
139,69,0.0,1.0,,,
139,69,,,0.31792840361595154,0.855555534362793,
141,70,0.0,1.0,,,
141,70,,,0.33381301164627075,0.8333333134651184,
143,71,0.0,1.0,,,
143,71,,,0.34659862518310547,0.8111110925674438,
145,72,0.0,1.0,,,
145,72,,,0.3880350887775421,0.800000011920929,
147,73,0.0,1.0,,,
147,73,,,0.3298564851284027,0.8333333134651184,
149,74,0.0,1.0,,,
149,74,,,0.3088294565677643,0.8666666746139526,
151,75,0.0,1.0,,,
151,75,,,0.3601101040840149,0.8333333134651184,
153,76,0.0,1.0,,,
153,76,,,0.3350691497325897,0.8444444537162781,
155,77,0.0,1.0,,,
155,77,,,0.3139858543872833,0.8444444537162781,
157,78,0.0,1.0,,,
157,78,,,0.32873305678367615,0.8222222328186035,
159,79,0.0,1.0,,,
159,79,,,0.3194515109062195,0.8444444537162781,
161,80,0.0,1.0,,,
161,80,,,0.36089494824409485,0.8222222328186035,
163,81,0.0,1.0,,,
163,81,,,0.33655139803886414,0.8666666746139526,
165,82,0.0,1.0,,,
165,82,,,0.35112476348876953,0.8333333134651184,
167,83,0.0,1.0,,,
167,83,,,0.3610713481903076,0.855555534362793,
169,84,0.0,1.0,,,
169,84,,,0.33223575353622437,0.800000011920929,
171,85,0.0,1.0,,,
171,85,,,0.37899160385131836,0.8222222328186035,
173,86,0.0,1.0,,,
173,86,,,0.3207809329032898,0.8444444537162781,
175,87,0.0,1.0,,,
175,87,,,0.33079373836517334,0.8333333134651184,
177,88,0.0,1.0,,,
177,88,,,0.32490354776382446,0.855555534362793,
179,89,0.0,1.0,,,
179,89,,,0.3506770133972168,0.8444444537162781,
181,90,0.0,1.0,,,
181,90,,,0.3488900065422058,0.8444444537162781,
183,91,0.0,1.0,,,
183,91,,,0.33735182881355286,0.8444444537162781,
185,92,0.0,1.0,,,
185,92,,,0.3174433708190918,0.8444444537162781,
187,93,0.0,1.0,,,
187,93,,,0.324649840593338,0.8444444537162781,
189,94,0.0,1.0,,,
189,94,,,0.3997664451599121,0.7888888716697693,
191,95,0.0,1.0,,,
191,95,,,0.35010790824890137,0.855555534362793,
193,96,0.0,1.0,,,
193,96,,,0.4185035824775696,0.8111110925674438,
195,97,0.0,1.0,,,
195,97,,,0.36778387427330017,0.8111110925674438,
197,98,0.0,1.0,,,
197,98,,,0.3279503583908081,0.855555534362793,
199,99,0.0,1.0,,,
199,99,,,0.3281199038028717,0.8444444537162781,
201,100,0.0,1.0,,,
201,100,,,0.34373581409454346,0.8444444537162781,
203,101,0.0,1.0,,,
203,101,,,0.3577907979488373,0.8333333134651184,
205,102,0.0,1.0,,,
205,102,,,0.3295236825942993,0.8111110925674438,
207,103,0.0,1.0,,,
207,103,,,0.3387874662876129,0.8444444537162781,
209,104,0.0,1.0,,,
209,104,,,0.3676091134548187,0.8444444537162781,
211,105,0.0,1.0,,,
211,105,,,0.3302314281463623,0.8666666746139526,
213,106,0.0,1.0,,,
213,106,,,0.34637773036956787,0.8444444537162781,
215,107,0.0,1.0,,,
215,107,,,0.34560626745224,0.8444444537162781,
217,108,0.0,1.0,,,
217,108,,,0.35707446932792664,0.8444444537162781,
219,109,0.0,1.0,,,
219,109,,,0.34421154856681824,0.8444444537162781,
221,110,0.0,1.0,,,
221,110,,,0.31861746311187744,0.8777777552604675,
223,111,0.0,1.0,,,
223,111,,,0.34442585706710815,0.855555534362793,
225,112,0.0,1.0,,,
225,112,,,0.30996444821357727,0.8666666746139526,
227,113,0.0,1.0,,,
227,113,,,0.33086052536964417,0.8333333134651184,
229,114,0.0,1.0,,,
229,114,,,0.30021950602531433,0.8888888955116272,
231,115,0.0,1.0,,,
231,115,,,0.3422240912914276,0.8444444537162781,
233,116,0.0,1.0,,,
233,116,,,0.3870113492012024,0.8222222328186035,
235,117,0.0,1.0,,,
235,117,,,0.35692834854125977,0.8222222328186035,
237,118,0.0,1.0,,,
237,118,,,0.3459163308143616,0.8444444537162781,
239,119,0.0,1.0,,,
239,119,,,0.3930608928203583,0.8333333134651184,
241,120,0.0,1.0,,,
241,120,,,0.32356229424476624,0.855555534362793,
243,121,0.0,1.0,,,
243,121,,,0.37079310417175293,0.8222222328186035,
245,122,0.0,1.0,,,
245,122,,,0.3305497169494629,0.8333333134651184,
247,123,0.0,1.0,,,
247,123,,,0.3352653384208679,0.8222222328186035,
249,124,0.0,1.0,,,
249,124,,,0.35224324464797974,0.8222222328186035,
251,125,0.0,1.0,,,
251,125,,,0.334356427192688,0.8444444537162781,
253,126,0.0,1.0,,,
253,126,,,0.33754828572273254,0.855555534362793,
255,127,0.0,1.0,,,
255,127,,,0.3142416179180145,0.8444444537162781,
257,128,0.0,1.0,,,
257,128,,,0.33341699838638306,0.855555534362793,
259,129,0.0,1.0,,,
259,129,,,0.3465762138366699,0.8444444537162781,
261,130,0.0,1.0,,,
261,130,,,0.34366896748542786,0.8333333134651184,
263,131,0.0,1.0,,,
263,131,,,0.3377920389175415,0.8111110925674438,
265,132,0.0,1.0,,,
265,132,,,0.34243494272232056,0.8444444537162781,
267,133,0.0,1.0,,,
267,133,,,0.33261919021606445,0.855555534362793,
269,134,0.0,1.0,,,
269,134,,,0.3232700228691101,0.855555534362793,
271,135,0.0,1.0,,,
271,135,,,0.361127644777298,0.8444444537162781,
273,136,0.0,1.0,,,
273,136,,,0.31100398302078247,0.8444444537162781,
275,137,0.0,1.0,,,
275,137,,,0.37298309803009033,0.855555534362793,
277,138,0.0,1.0,,,
277,138,,,0.31974050402641296,0.8777777552604675,
279,139,0.0,1.0,,,
279,139,,,0.34572267532348633,0.8444444537162781,
281,140,0.0,1.0,,,
281,140,,,0.32102176547050476,0.8666666746139526,
283,141,0.0,1.0,,,
283,141,,,0.31308797001838684,0.8666666746139526,
285,142,0.0,1.0,,,
285,142,,,0.35852161049842834,0.8444444537162781,
287,143,0.0,1.0,,,
287,143,,,0.357155978679657,0.8222222328186035,
289,144,0.0,1.0,,,
289,144,,,0.3287319540977478,0.8333333134651184,
291,145,0.0,1.0,,,
291,145,,,0.3209802210330963,0.8444444537162781,
293,146,0.0,1.0,,,
293,146,,,0.3131694793701172,0.8333333134651184,
295,147,0.0,1.0,,,
295,147,,,0.323811411857605,0.8444444537162781,
297,148,0.0,1.0,,,
297,148,,,0.3564816415309906,0.8333333134651184,
299,149,0.0,1.0,,,
299,149,,,0.2878417372703552,0.8777777552604675,
301,150,0.0,1.0,,,
301,150,,,0.3187465965747833,0.8777777552604675,
303,151,0.0,1.0,,,
303,151,,,0.3088359534740448,0.8666666746139526,
305,152,0.0,1.0,,,
305,152,,,0.34123000502586365,0.8222222328186035,
307,153,0.0,1.0,,,
307,153,,,0.37379878759384155,0.800000011920929,
309,154,0.0,1.0,,,
309,154,,,0.37406784296035767,0.855555534362793,
311,155,0.0,1.0,,,
311,155,,,0.36680924892425537,0.855555534362793,
313,156,0.0,1.0,,,
313,156,,,0.36230045557022095,0.8333333134651184,
315,157,0.0,1.0,,,
315,157,,,0.36178818345069885,0.8111110925674438,
317,158,0.0,1.0,,,
317,158,,,0.36210179328918457,0.8444444537162781,
319,159,0.0,1.0,,,
319,159,,,0.3447338044643402,0.8666666746139526,
321,160,0.0,1.0,,,
321,160,,,0.3026805520057678,0.8444444537162781,
323,161,0.0,1.0,,,
323,161,,,0.33044078946113586,0.855555534362793,
325,162,0.0,1.0,,,
325,162,,,0.3630087077617645,0.8222222328186035,
327,163,0.0,1.0,,,
327,163,,,0.31023821234703064,0.8333333134651184,
329,164,0.0,1.0,,,
329,164,,,0.3279113173484802,0.8222222328186035,
331,165,0.0,1.0,,,
331,165,,,0.32034847140312195,0.8222222328186035,
333,166,0.0,1.0,,,
333,166,,,0.3180569112300873,0.8333333134651184,
335,167,0.0,1.0,,,
335,167,,,0.34235942363739014,0.8444444537162781,
337,168,0.0,1.0,,,
337,168,,,0.3392338454723358,0.855555534362793,
339,169,0.0,1.0,,,
339,169,,,0.335440993309021,0.8111110925674438,
341,170,0.0,1.0,,,
341,170,,,0.2929379940032959,0.8666666746139526,
343,171,0.0,1.0,,,
343,171,,,0.32547178864479065,0.8444444537162781,
345,172,0.0,1.0,,,
345,172,,,0.31523141264915466,0.8777777552604675,
347,173,0.0,1.0,,,
347,173,,,0.34375908970832825,0.8222222328186035,
349,174,0.0,1.0,,,
349,174,,,0.35447242856025696,0.8222222328186035,
351,175,0.0,1.0,,,
351,175,,,0.32230570912361145,0.855555534362793,
353,176,0.0,1.0,,,
353,176,,,0.3055134415626526,0.855555534362793,
355,177,0.0,1.0,,,
355,177,,,0.2990148961544037,0.8666666746139526,
357,178,0.0,1.0,,,
357,178,,,0.338680237531662,0.8444444537162781,
359,179,0.0,1.0,,,
359,179,,,0.3197321593761444,0.8777777552604675,
361,180,0.0,1.0,,,
361,180,,,0.3249092400074005,0.8444444537162781,
363,181,0.0,1.0,,,
363,181,,,0.2896476686000824,0.855555534362793,
365,182,0.0,1.0,,,
365,182,,,0.27419203519821167,0.8666666746139526,
367,183,0.0,1.0,,,
367,183,,,0.32244107127189636,0.8333333134651184,
369,184,0.0,1.0,,,
369,184,,,0.3705501854419708,0.8333333134651184,
371,185,0.0,1.0,,,
371,185,,,0.3107665181159973,0.8777777552604675,
373,186,0.0,1.0,,,
373,186,,,0.3211539685726166,0.8666666746139526,
375,187,0.0,1.0,,,
